Date (MM-DD-YYYY),Transaction Type,Stock / ETF Symbol,Quantity of Units,Amount per unit,Total Amount (before trading fees)
01-15-2026,Buy,AAPL,100,150.00,15000.00
01-20-2026,Buy,MSFT,50,300.00,15000.00
02-01-2026,Buy,GOOGL,30,140.00,4200.00
02-15-2026,Sell,AAPL,50,155.00,7750.00
03-01-2026,Buy,NVDA,100,180.00,18000.00
03-10-2026,Dividend,AAPL,50,0.25,12.50
03-20-2026,Buy,AMZN,75,220.00,16500.00
04-01-2026,Sell,MSFT,25,310.00,7750.00
04-15,Buy,VOO,20,675.00,13500.00
05-01-2026,Sell,GOOGL,15,145.00,2175.00
05-10-2026,Buy,META,25,635.00,15875.00
06-01-2026,Sell,NVDA,50,205.00,10250.00
