date	action	ticker	quantity	price	value	market_price
05-07-2026	Buy	smh	200.00	548.80	109,760.00	561.19
05-07-2026	Sell	smh	100.00	538.83	53,882.50	561.19
05-08-2026	Buy	smh	100.00	556.99	55,699.00	561.19
05-14-2026	Buy	smh	100.00	580.90	58,090.00	561.19
05-22-2026	Buy	smh	60.00	597.53	35,851.80	561.19
06-01-2026	Sell	smh	40.00	597.62	23,904.80	561.19
06-03-2026	Sell	smh	300.00	625.18	187,554.00	561.19
06-03-2026	Buy	smh	100.00	618.50	61,850.00	561.19
06-03-2026	Buy	smh	100.00	623.79	62,379.00	561.19
06-05-2026	Sell	smh	220.00	594.87	130,871.42	561.19
06-05-2026	Buy	smh	400.00	583.80	233,521.00	561.19
06-05-2026	Buy	smh	46.01	583.29	26,838.00	561.19
06-05-2026	Buy	smh	14.15	581.42	8,225.00	561.19
06-05-2026	Buy	smh	60.00	583.18	34,990.80	561.19
06-05-2026	Sell	smh	400.00	580.00	232,000.00	561.19
06-05-2026	Sell	smh	60.00	573.79	34,427.10	561.19
06-05-2026	Buy	smh	100.00	578.32	57,832.00	561.19
06-05-2026	Sell	smh	46.00	572.01	26,312.46	561.19
06-05-2026	Sell	smh	14.00	571.73	8,004.15	561.19
06-09-2026	Buy	smh	30.00	563.96	16,918.65	561.19
06-11-2026	Buy	smh	20.00	605.99	12,119.80	561.19
06-12-2026	Buy	smh	35.00	608.97	21,313.95	561.19
06-12-2026	Buy	smh	50.00	623.90	31,195.00	561.19
06-12-2026	Buy	smh	50.00	622.79	31,139.50	561.19
06-16-2026	Sell	smh	35.00	635.28	22,234.80	561.19
06-16-2026	Sell	smh	100.00	628.33	62,833.00	561.19
06-18-2026	Sell	smh	40.00	657.74	26,309.60	561.19
06-22-2026	Buy	smh	100.00	665.19	66,519.00	561.19
06-23-2026	Buy	smh	38.00	626.79	23,818.02	561.19
06-23-2026	Buy	smh	30.00	631.79	18,953.70	561.19
06-23-2026	Buy	smh	40.00	628.89	25,155.60	561.19
06-25-2026	Buy	smh	65.00	623.96	40,557.40	561.19
06-29-2026	Buy	smh	50.00	614.29	30,714.50	561.19
07-01-2026	Buy	smh	30.00	624.89	18,746.70	561.19
07-02-2026	Buy	smh	13.00	624.34	8,116.42	561.19
07-02-2026	Buy	smh	6.00	625.13	3,750.78	561.19
07-02-2026	Buy	smh	20.00	624.62	12,492.40	561.19
07-07-2026	Buy	smh	84.00	571.75	48,027.00	561.19
07-15-2026	Buy	smh	31.00	575.26	17,833.06	561.19
07-17-2026	Buy	smh	50.00	545.53	27,276.50	561.19
07-22-2026	Buy	smh	30.00	590.79	17,723.66	561.19
