Date,Close,High,Low,Open,Volume,SMA,SMA_prev,Signal,Strategy_Shares,Strategy_Cash,Strategy_Portfolio_Value,Buy_and_Hold_Portfolio_Value,Cumulative_Buy_and_Hold_Returns,Cumulative_Strategy_Returns,Strategy_Returns
2025-03-03,578.69921875,592.1513529367862,574.8628395664972,591.0013951605243,74249200,563.5098100280761,563.1734606933594,1,2670.0366608549334,0.0,1545148.1296706088,1545148.1296706088,1.030098753113739,1.030098753113739,-0.017519950294720865
2025-03-04,571.8492431640625,580.3051786101872,567.2793012349447,574.6745236933907,109648200,563.8001768493652,563.5098100280761,1,2670.0366608549334,0.0,1526858.4437301944,1526858.4437301944,1.017905629153463,1.017905629153463,-0.01183684954808406
2025-03-05,577.995361328125,579.7995595159383,568.1020700009266,571.6806979232716,71230500,564.0894636535645,563.8001768493652,1,2670.0366608549334,0.0,1543268.8045501877,1543268.8045501877,1.028845869700125,1.028845869700125,0.010747794523703114
2025-03-06,567.7353515625,575.1305138313668,565.1678221830052,570.4812496614657,80094900,564.332801361084,564.0894636535645,1,2670.0366608549334,0.0,1515874.2023352392,1515874.2023352392,1.0105828015568261,1.0105828015568261,-0.017751024406233107
2025-03-07,570.9174194335938,572.3746821635032,560.7168223441957,565.9410653648017,81158800,564.5883186340332,564.332801361084,1,2670.0366608549334,0.0,1524370.440208388,1524370.440208388,1.0162469601389255,1.0162469601389255,0.005604843634161805
2025-03-10,555.710693359375,564.5928260670291,550.7640472991095,562.6598126082816,99326600,564.7648075866699,564.5883186340332,0,0.0,1483767.9240986453,1483767.9240986453,1483767.9240986453,0.9891786160657635,0.9891786160657635,-0.02663559659697423
2025-03-11,551.0911254882812,559.1208032031337,547.2250381485285,554.5409384975098,88102100,564.9118174743652,564.7648075866699,0,0.0,1483767.9240986453,1483767.9240986453,1471433.5085255175,0.980955672350345,0.9891786160657635,0.0
2025-03-12,554.0155029296875,558.2186634905289,548.8805050365849,557.2868261582678,69588200,565.0809593200684,564.9118174743652,0,0.0,1483767.9240986453,1483767.9240986453,1479241.7035042495,0.9861611356694996,0.9891786160657635,0.0
2025-03-13,546.6301879882812,554.2533928238977,544.9053118169562,553.6387831652644,74079400,565.2321730041504,565.0809593200684,0,0.0,1483767.9240986453,1483767.9240986453,1459522.641858735,0.9730150945724899,0.9891786160657635,0.0
2025-03-14,557.9212646484375,558.9324239905063,546.6995862320014,551.2794507149214,62660300,565.4227583312988,565.2321730041504,0,0.0,1483767.9240986453,1483767.9240986453,1489670.2304818756,0.993113486987917,0.9891786160657635,0.0
